Benchmark,JAX PSO,Pure PSO,Vectorized PSO
Ackley,0.1129176616668701,1.5425325632095337,0.3872495293617248
Alpine,0.1039331331849098,1.46593177318573,0.2789660990238189
Griewank,0.1084952130913734,1.6244858503341677,0.3996640741825104
Rastrigin,0.1050342842936515,1.5325567722320557,0.3115154504776001
Rosenbrock,0.0953692123293876,1.626410722732544,0.353400856256485
Salomon,0.102584958076477,1.4573606252670288,0.1875771731138229
Schwefel,0.1063376069068908,1.5868395566940308,0.2592251002788543
Sphere,0.0942458137869834,1.3644288778305054,0.1583143770694732
Styblinski-Tang,0.1003692522644996,1.5997438430786133,0.363735169172287
